,ctx_lens,batch_size,num_heads,head_size,block_size,dtype,qlen,trans_v,us_hip_bf16,us_triton_fp8,us_gluon_fp8,err_gluon_fp8,gluon_fp8_bandwith(TB/s),us_asm_fp8,asm_fp8_bandwith(TB/s),us_hip_fp8,perf_fp8_gluon_vs_hip,perf_fp8_gluon_vs_asm
0,512,4,"(5, 1)",128,16,torch.bfloat16,1,True,14.177591836734736,19.170525252525284,12.005656363636287,0,0.04010557661258654,9.400257731958758,0.05171670796817388,13.689757575757554,114%,78%
1,512,4,"(5, 1)",128,16,torch.bfloat16,2,True,17.63889361702128,24.346801484230085,11.627222016079156,0,0.04181139598753578,9.385820000000008,0.052788526702561324,16.288460000000033,140%,81%
2,512,4,"(5, 1)",128,16,torch.bfloat16,3,True,20.161030927835004,,11.859553877551011,0,0.041384946001333765,,,19.412060000000068,164%,NaN
3,512,4,"(5, 1)",128,16,torch.bfloat16,4,True,22.79520408163265,,14.307488041237045,0,0.03462967141872907,13.87737894736841,0.037045184334699735,46.58544897959176,326%,97%
4,512,80,"(5, 1)",128,16,torch.bfloat16,1,True,17.84424444444433,33.10113515151521,15.867519274376356,0,0.6068923096929738,10.482773195876291,0.9275224692269816,16.762545454545407,106%,66%
5,512,80,"(5, 1)",128,16,torch.bfloat16,2,True,24.333931818181842,43.28528824742275,16.240820000000006,0,0.5986771406237857,10.429244897959189,0.9501428234605703,22.553640000000033,139%,64%
6,512,80,"(5, 1)",128,16,torch.bfloat16,3,True,29.627080459770077,,16.401109795918387,0,0.5985046169796391,,,28.52369696969696,174%,NaN
7,512,80,"(5, 1)",128,16,torch.bfloat16,4,True,36.18018390804603,,20.042460000000066,0,0.4944139688395864,14.870240000000008,0.6914347867791559,104.99392000000003,524%,74%
8,512,128,"(5, 1)",128,16,torch.bfloat16,1,True,23.117662921348312,59.300659377277945,20.66058000000013,0,0.7457583801828591,15.126292929292942,1.0284616567387956,20.621362637362687,100%,73%
9,512,128,"(5, 1)",128,16,torch.bfloat16,2,True,35.743782608695554,79.70781137692725,21.516387070707136,0,0.7230215851413234,19.06464000000001,0.8316357146137506,35.92312500000006,167%,89%
10,512,128,"(5, 1)",128,16,torch.bfloat16,3,True,48.83231460674156,,21.737285306122388,0,0.7225292246540015,,,47.140463157894686,217%,NaN
11,512,128,"(5, 1)",128,16,torch.bfloat16,4,True,59.795934065934006,,27.335260000000005,0,0.5800140737733572,27.164463917525772,0.6056030410890659,184.81897999999993,676%,99%
12,4096,4,"(5, 1)",128,16,torch.bfloat16,1,True,14.512464646464716,21.709545154639166,14.306824040404022,0,0.2669602888601836,35.08577083333333,0.10899035137452767,14.385239999999994,101%,245%
13,4096,4,"(5, 1)",128,16,torch.bfloat16,2,True,18.479659999999882,26.79646060606067,14.52794727272726,0,0.2632175364891238,33.8968556701031,0.11308788503643676,17.27117171717161,119%,233%
14,4096,4,"(5, 1)",128,16,torch.bfloat16,3,True,21.17402,,14.755963232323317,0,0.25946575252081394,60.83836734693877,0.06316140801330718,20.282545454545417,137%,412%
15,4096,4,"(5, 1)",128,16,torch.bfloat16,4,True,23.84564000000007,,18.03912471655333,0,0.21250053854329848,61.075474226804154,0.06306869029465702,57.41699999999998,318%,339%
16,4096,80,"(5, 1)",128,16,torch.bfloat16,1,True,63.187978723404285,217.23834920634923,52.93641183673475,0,1.4429968885226445,39.932168539325836,1.915253106079229,51.350836734693885,97%,75%
17,4096,80,"(5, 1)",128,16,torch.bfloat16,2,True,90.1237473684211,299.33052000000004,54.80382908163262,0,1.3955267562327183,36.146061224489785,2.1210187706538512,98.09152000000002,179%,66%
18,4096,80,"(5, 1)",128,16,torch.bfloat16,3,True,135.26497959183675,,56.728970612244886,0,1.3498101809088063,62.40508421052627,1.2315140637901107,132.04080000000013,233%,110%
19,4096,80,"(5, 1)",128,16,torch.bfloat16,4,True,167.93828571428568,,74.2564991666666,0,1.0324547373324249,62.41632653061223,1.2342764730700453,643.5658144329894,867%,84%
20,4096,128,"(5, 1)",128,16,torch.bfloat16,1,True,96.15674358974363,350.76894736842115,79.06388282828293,0,1.5458300268073586,67.21495959595964,1.8205520982152403,74.96771134020625,95%,85%
21,4096,128,"(5, 1)",128,16,torch.bfloat16,2,True,137.4622340425532,482.85406680851037,81.41322808080812,0,1.5030522509489257,69.97982474226806,1.7528817684172187,151.5209090909091,186%,86%
22,4096,128,"(5, 1)",128,16,torch.bfloat16,3,True,211.76908000000006,,84.11578141414144,0,1.4565322377807448,122.44308247422687,1.0042574859017754,208.13906000000003,247%,146%
23,4096,128,"(5, 1)",128,16,torch.bfloat16,4,True,264.4600600000001,,112.1938866666666,0,1.0933426284820804,122.54281818181812,1.005872128814779,1024.5818144329892,913%,109%
24,4097,4,"(5, 1)",128,16,torch.bfloat16,1,True,14.609353535353515,23.00779076479084,15.744270101010118,0,0.2426460659378291,37.06386597938143,0.1031986737722821,14.405367346938883,91%,235%
25,4097,4,"(5, 1)",128,16,torch.bfloat16,2,True,18.308840000000046,28.07771717171719,15.965050303030203,0,0.23958219619388146,35.863865979381444,0.10691136984217715,17.17703030303034,108%,225%
26,4097,4,"(5, 1)",128,16,torch.bfloat16,3,True,21.249659999999995,,16.065438383838327,0,0.23837497211849415,65.0637916666666,0.059073843792095064,20.36410101010101,127%,405%
27,4097,4,"(5, 1)",128,16,torch.bfloat16,4,True,23.916479999999957,,20.70929999999998,0,0.1851465302879348,65.0901111111111,0.0591930390871085,57.280159999999995,277%,314%
